data,idVotacao,idProposicao
2021-06-09,2274251-37,2286037
2021-06-09,2274251-37,2286252
2021-06-09,2274251-37,2286265
2021-06-09,2274251-37,2286425
2021-06-09,2274251-40,2274730
2021-06-09,2274251-40,2285959
2021-06-09,2274251-40,2286037
2021-06-09,2274251-40,2286252
2021-06-09,2274251-40,2286265
2021-06-09,2274251-40,2286425
2021-06-09,2274251-43,2274730
2021-06-09,2274251-43,2285959
2021-06-09,2274251-43,2286037
2021-06-09,2274251-43,2286252
2021-06-09,2274251-43,2286265
2021-06-09,2274251-43,2286425
2021-06-09,2274251-46,2274730
2021-06-09,2274251-46,2285959
2021-06-09,2274251-46,2286037
2021-06-09,2274251-46,2286252
2021-06-09,2274251-46,2286265
2021-06-09,2274251-46,2286425
2021-06-09,2283409-8,2283409
2021-06-09,2286176-7,2286176
2021-06-09,2285930-2,2285930
2021-06-10,2229527-43,2286990
2021-06-10,2206168-106,2223927
2021-06-10,2206168-106,2283070
2021-06-10,2206168-106,2284680
2021-06-10,2206168-106,2284681
2021-06-10,2206168-106,2284769
2021-06-10,2206168-106,2285247
2021-06-10,2206168-106,2286851
2021-06-10,2206168-97,2223927
2021-06-10,2206168-97,2283070
2021-06-10,2206168-97,2284680
2021-06-10,2206168-97,2284681
2021-06-10,2206168-97,2284769
2021-06-10,2206168-97,2285247
2021-06-10,2229093-36,2233101
2021-06-10,2229093-36,2286385
2021-06-10,2233951-26,2285764
2021-06-10,2234587-24,2281286
2021-06-10,2253657-23,2282959
2021-06-10,2253657-23,2286386
2021-06-10,2256559-28,2284767
2021-06-10,2258569-46,2283315
2021-06-10,2258569-46,2285076
2021-06-10,2265589-27,2285469
2021-06-10,2268881-33,2282963
2021-06-10,2268881-33,2282964
2021-06-10,2268881-33,2286108
2021-06-10,2268881-33,2286109
2021-06-10,2282725-29,2285178
2021-06-10,2284919-3,2284919
2021-06-10,2285268-4,2285268
2021-06-10,2285269-2,2285269
2021-06-10,2285271-2,2285271
2021-06-10,2285272-2,2285272
2021-06-10,2285599-2,2285599
2021-06-10,2285600-2,2285600
2021-06-10,2285607-2,2285607
2021-06-10,2285840-2,2285840
2021-06-10,2285997-3,2285997
2021-06-10,2122034-68,2221908
2021-06-10,2122034-68,2283600
2021-06-10,2171929-48,2283196
2021-06-10,2184817-33,2285307
2021-06-10,2194909-45,2230276
2021-06-10,2194909-45,2280229
2021-06-10,2194909-45,2280317
2021-06-10,2207082-44,2278619
2021-06-10,2207082-44,2278620
2021-06-10,2207082-44,2284444
2021-06-10,2207082-44,2285455
2021-06-10,2236990-34,2278394
2021-06-10,2236990-34,2278396
2021-06-10,2238527-28,2279651
2021-06-10,2238527-28,2279653
2021-06-10,2238527-28,2284522
2021-06-10,2241668-25,2280232
2021-06-10,2241668-25,2280233
2021-06-10,2267419-29,2277232
2021-06-10,2267419-29,2278954
2021-06-10,2267419-29,2278955
2021-06-10,2280057-5,2285609
2021-06-10,2285160-3,2285160
2021-06-10,2285609-3,2285609
2021-06-10,2229527-41,2286990
2021-06-14,2286515-2,2286515
2021-06-15,2270642-36,2286891
2021-06-15,2270642-36,2286968
2021-06-15,2270642-36,2287067
2021-06-15,2276475-70,2278564
2021-06-15,2276475-70,2278599
2021-06-15,2276475-70,2282349
2021-06-15,2276475-70,2282620
2021-06-15,2276475-70,2282646
2021-06-15,2276475-70,2283553
2021-06-15,2276475-70,2283605
2021-06-15,2276475-70,2283824
2021-06-15,2276475-70,2283825
2021-06-15,2276475-70,2283826
2021-06-15,2276475-70,2284513
2021-06-15,2276475-70,2284514
2021-06-15,2276475-70,2284515
2021-06-15,2276475-70,2284516
2021-06-15,2276475-70,2284634
2021-06-15,2276475-70,2286249
2021-06-15,2276475-70,2286310
2021-06-15,2276475-70,2286935
2021-06-15,2276475-70,2286936
2021-06-15,2276475-70,2286938
2021-06-15,2276475-70,2286951
2021-06-15,2276475-70,2286953
2021-06-15,2276475-70,2286958
2021-06-15,2276475-70,2286961
