UF,id,nomeEleitoral,siglaPartido
AM,204555,José Ricardo,PT
BA,209189,Joseildo Ramos,PT
AC,178825,LEO DE BRITO,PT
MG,74156,Leonardo Monteiro,PT
CE,178866,Luizianne Lins,PT
RS,160535,Marcon,PT
RS,74398,Maria do Rosário,PT
PE,204428,Marília Arraes,PT
PI,188097,Merlong Solano,PT
RN,204453,Natália Bonavides,PT
SP,178986,Nilto Tatto,PT
MG,74159,Odair Cunha,PT
MG,160556,Padre João,PT
MG,74160,Patrus Ananias,PT
AL,171617,Paulão,PT
MG,204492,Paulo Guedes,PT
RS,74400,Paulo Pimenta,PT
SP,141488,Paulo Teixeira,PT
SC,160604,Pedro Uczai,PT
MT,204467,Professora Rosa Neide,PT
MG,74161,Reginaldo Lopes,PT
PI,178925,Rejane Dias,PT
MG,204480,Rogério Correia,PT
GO,74371,Rubens Otoni,PT
SP,73604,Rui Falcão,PT
BA,160610,Valmir Assunção,PT
MS,74376,Vander Loubet,PT
SP,74283,Vicentinho,PT
BA,160569,Waldenor Pereira,PT
MA,178889,Zé Carlos,PT
BA,204559,Zé Neto,PT
PR,160592,Zeca Dirceu,PT
PA,204500,Eduardo Costa,PTB
MT,198783,Emanuel Pinheiro Neto,PTB
PR,204410,Luisa Canziani,PTB
RS,133810,Marcelo Moraes,PTB
RS,75431,Maurício Dziedricki,PTB
AL,194260,Nivaldo Albuquerque,PTB
PA,204538,Paulo Bengtson,PTB
CE,90201,Pedro Augusto Bezerra,PTB
MA,122974,Pedro Lucas Fernandes,PTB
PB,74044,Wilson Santiago,PTB
RN,109429,Benes Leocádio,PTC
PI,204432,Marina Santos,PTC
CE,204488,Célio Studart,PV
SP,204537,Enrico Misasi,PV
PR,178832,Leandre,PV
DF,204383,Professor Israel Batista,PV
RR,204468,Joenia Wapichana,REDE
AP,204353,Aline Gurgel,REPUBLICANOS
ES,204356,Amaro Neto,REPUBLICANOS
PR,204414,Aroldo Martins,REPUBLICANOS
RN,109429,Benes Leocádio,REPUBLICANOS
AM,204572,Capitão Alberto Neto,REPUBLICANOS
RS,178962,Carlos Gomes,REPUBLICANOS
SP,73441,Celso Russomanno,REPUBLICANOS
MA,141408,Cleber Verde,REPUBLICANOS
MA,204575,Gil Cutrim,REPUBLICANOS
MG,204491,Gilberto Abramo,REPUBLICANOS
SC,204373,Hélio Costa,REPUBLICANOS
SP,217036,Henrique do Paraíso,REPUBLICANOS
PB,160674,Hugo Motta,REPUBLICANOS
RR,160531,Jhonatan de Jesus,REPUBLICANOS
GO,74366,João Campos,REPUBLICANOS
RJ,205550,Jorge Braz,REPUBLICANOS
DF,204372,Julio Cesar Ribeiro,REPUBLICANOS
MG,98057,Lafayette de Andrada,REPUBLICANOS
PR,204418,Luizão Goulart,REPUBLICANOS
BA,150418,Márcio Marinho,REPUBLICANOS
SP,204506,Marcos Pereira,REPUBLICANOS
SP,204540,Maria Rosas,REPUBLICANOS
PE,204422,Ossesio Silva,REPUBLICANOS
SP,160601,Pr. Marco Feliciano,REPUBLICANOS
SP,152610,Roberto Alves,REPUBLICANOS
RJ,178945,Rosangela Gomes,REPUBLICANOS
AL,204437,Severino Pessoa,REPUBLICANOS
AM,74356,Silas Câmara,REPUBLICANOS
PE,204425,Silvio Costa Filho,REPUBLICANOS
BA,178862,Tia Eron,REPUBLICANOS
PA,204505,Vavá Martins,REPUBLICANOS
SP,141555,Vinicius Carvalho,REPUBLICANOS
SP,204544,Alexandre Frota,S.PART.
PA,204496,Celso Sabino,S.PART.
RJ,204448,Luiz Antônio Corrêa,S.PART.
PE,160665,Augusto Coutinho,SOLIDARIEDADE
RJ,160512,Aureo Ribeiro,SOLIDARIEDADE
AM,204551,Bosco Saraiva,SOLIDARIEDADE
MT,204439,Dr. Leonardo,SOLIDARIEDADE
AC,204434,Dra. Vanda Milani,SOLIDARIEDADE
TO,204364,Eli Borges,SOLIDARIEDADE
CE,160669,Genecias Noronha,SOLIDARIEDADE
SE,204408,Gustinho Ribeiro,SOLIDARIEDADE
GO,178879,Lucas Vergilio,SOLIDARIEDADE
PI,204432,Marina Santos,SOLIDARIEDADE
RR,204475,Ottaci Nascimento,SOLIDARIEDADE
SP,141518,Paulo Pereira da Silva,SOLIDARIEDADE
TO,143084,Tiago Dimas,SOLIDARIEDADE
MG,160632,Zé Silva,SOLIDARIEDADE
